,skewness,rank,demeaned_rank,weight
VALE,0.1328116982871268,158.0,1.5,0.0001232741617357002
EDN,0.1351873731834964,157.0,0.5,4.10913872452334e-05
BK,0.13671237798174862,156.0,-0.5,-4.10913872452334e-05
CEPU,0.13696974340539386,155.0,-1.5,-0.0001232741617357002
TRIP,0.14426580096683378,154.0,-2.5,-0.000205456936226167
ING,0.1464020400886229,153.0,-3.5,-0.0002876397107166338
UGP,0.18150452713030338,152.0,-4.5,-0.00036982248520710064
B,0.18391939624455575,151.0,-5.5,-0.0004520052596975674
CAAP,0.184527045008029,150.0,-6.5,-0.0005341880341880342
LRCX,0.1906385482186989,149.0,-7.5,-0.000616370808678501
RACE,0.19979591654665074,148.0,-8.5,-0.0006985535831689678
FCX,0.20105518979925036,147.0,-9.5,-0.0007807363576594346
NXE,0.20387540659344397,146.0,-10.5,-0.0008629191321499015
SCCO,0.22317934242102477,145.0,-11.5,-0.0009451019066403682
SONY,0.22476854959957004,144.0,-12.5,-0.001027284681130835
TV,0.22561835054962653,143.0,-13.5,-0.0011094674556213018
LLY,0.24194865189582948,142.0,-14.5,-0.0011916502301117687
HOG,0.24658661465264672,141.0,-15.5,-0.0012738330046022355
AMZN,0.24686588427396947,140.0,-16.5,-0.0013560157790927022
BIDU,0.24889617234842168,139.0,-17.5,-0.001438198553583169
YPF,0.2551097990048364,138.0,-18.5,-0.0015203813280736359
BHP,0.2585229809190671,137.0,-19.5,-0.0016025641025641027
IRS,0.2620429494885238,136.0,-20.5,-0.0016847468770545694
HUT,0.26229989987584473,135.0,-21.5,-0.0017669296515450362
WB,0.26784199644000306,134.0,-22.5,-0.001849112426035503
GLW,0.2840235215902573,133.0,-23.5,-0.00193129520052597
IBN,0.2845159103231371,132.0,-24.5,-0.0020134779750164366
CRESY,0.2871678628497103,131.0,-25.5,-0.0020956607495069036
VIST,0.2915770173355991,130.0,-26.5,-0.0021778435239973703
HMY,0.2992575678629151,129.0,-27.5,-0.002260026298487837
DEO,0.3157019320160442,128.0,-28.5,-0.002342209072978304
KB,0.3234855782029972,127.0,-29.5,-0.0024243918474687706
BA,0.3286042208647109,126.0,-30.5,-0.0025065746219592373
WFC,0.329309475957338,125.0,-31.5,-0.0025887573964497044
PAM,0.33523451754559097,124.0,-32.5,-0.002670940170940171
ORLY,0.3474195068770606,123.0,-33.5,-0.002753122945430638
GSK,0.34877158759842186,122.0,-34.5,-0.0028353057199211047
YELP,0.373873992124885,121.0,-35.5,-0.0029174884944115713
CCL,0.37391267194336264,120.0,-36.5,-0.0029996712689020384
TEAM,0.37478752014535865,119.0,-37.5,-0.003081854043392505
MGLU3.SA,0.3784154368354024,118.0,-38.5,-0.0031640368178829717
STLA,0.38002582458081474,117.0,-39.5,-0.0032462195923734388
KOD,0.3928490900799552,116.0,-40.5,-0.0033284023668639054
GPRK,0.4027204134252028,115.0,-41.5,-0.0034105851413543725
ABEV,0.4030800752639115,114.0,-42.5,-0.003492767915844839
AXP,0.41546503267525436,113.0,-43.5,-0.0035749506903353058
XPEV,0.41595987179169575,112.0,-44.5,-0.003657133464825773
SID,0.4358039620244496,111.0,-45.5,-0.0037393162393162395
TEO,0.43965438739633034,110.0,-46.5,-0.003821499013806706
UBER,0.44236464956322125,109.0,-47.5,-0.003903681788297173
PINS,0.44695186157396555,108.0,-48.5,-0.00398586456278764
ASR,0.4532503980143042,107.0,-49.5,-0.0040680473372781065
BBAR,0.45963816804274127,106.0,-50.5,-0.004150230111768573
PAC,0.46093464010240176,105.0,-51.5,-0.004232412886259041
TMO,0.4648028425876036,104.0,-52.5,-0.004314595660749507
CAT,0.4711305995818801,103.0,-53.5,-0.004396778435239974
ABNB,0.4725067463025974,102.0,-54.5,-0.0044789612097304405
CSNA3.SA,0.482818107538364,101.0,-55.5,-0.004561143984220907
SE,0.4894082588934261,100.0,-56.5,-0.004643326758711375
TGS,0.49871785943617564,99.0,-57.5,-0.004725509533201841
HAPV3.SA,0.5014921925641365,98.0,-58.5,-0.004807692307692308
DOW,0.5049650817182026,97.0,-59.5,-0.004889875082182775
TM,0.5148377156368206,96.0,-60.5,-0.004972057856673241
TJX,0.5157793170352173,95.0,-61.5,-0.005054240631163709
CX,0.5287954635527465,94.0,-62.5,-0.005136423405654175
PANW,0.5317971796889934,93.0,-63.5,-0.005218606180144642
LOMA,0.5406979494135054,92.0,-64.5,-0.005300788954635109
STNE,0.5420330514120946,91.0,-65.5,-0.005382971729125575
VRSN,0.5459287516881446,90.0,-66.5,-0.005465154503616042
JPM,0.5462241152929297,89.0,-67.5,-0.0055473372781065095
RIOT,0.5598085095010916,88.0,-68.5,-0.005629520052596976
EFX,0.562846469226718,87.0,-69.5,-0.005711702827087443
ARM,0.5831798114979769,86.0,-70.5,-0.005793885601577909
GGB,0.5843942962994824,85.0,-71.5,-0.005876068376068376
WMT,0.6040659225422915,84.0,-72.5,-0.0059582511505588435
NIO,0.6140190513618508,83.0,-73.5,-0.00604043392504931
MSTR,0.6278862535460871,82.0,-74.5,-0.006122616699539777
INFY,0.6428145417157918,81.0,-75.5,-0.0062047994740302434
X,0.6438799577450066,80.0,-76.5,-0.00628698224852071
LVS,0.6553312758569662,79.0,-77.5,-0.006369165023011178
MO,0.6665838954096671,78.0,-78.5,-0.006451347797501644
META,0.6733125598096853,77.0,-79.5,-0.006533530571992111
SUPV,0.6820317118248028,76.0,-80.5,-0.0066157133464825775
BMA,0.6895547352100155,75.0,-81.5,-0.006697896120973044
NFLX,0.6913670897713261,74.0,-82.5,-0.006780078895463511
CSCO,0.6928032517753343,73.0,-83.5,-0.006862261669953978
SAP,0.6937175138931754,72.0,-84.5,-0.006944444444444445
ZM,0.6978535213689946,71.0,-85.5,-0.0070266272189349116
UNP,0.6991539727784192,70.0,-86.5,-0.007108809993425378
SNA,0.7078209402415545,69.0,-87.5,-0.007190992767915845
GT,0.7272014973749359,68.0,-88.5,-0.007273175542406312
GGAL,0.7291868768353117,67.0,-89.5,-0.007355358316896779
BAK,0.7299240411594241,66.0,-90.5,-0.007437541091387246
CEG,0.7309409921299365,65.0,-91.5,-0.007519723865877712
GS,0.7369310020313512,64.0,-92.5,-0.007601906640368179
ARCO,0.7536078749222612,63.0,-93.5,-0.007684089414858646
IP,0.7552561475671051,62.0,-94.5,-0.007766272189349113
BITF,0.7571565635697692,61.0,-95.5,-0.007848454963839579
SPOT,0.7817556950880681,60.0,-96.5,-0.007930637738330047
JD,0.7818536932319494,59.0,-97.5,-0.008012820512820514
TSLA,0.7851263870269755,58.0,-98.5,-0.00809500328731098
ERJ,0.798592003463967,57.0,-99.5,-0.008177186061801447
TXN,0.8120734918956121,56.0,-100.5,-0.008259368836291914
CRM,0.8151442281848682,55.0,-101.5,-0.00834155161078238
MSFT,0.8399921987692244,54.0,-102.5,-0.008423734385272847
HSY,0.8568124713049732,53.0,-103.5,-0.008505917159763314
HMC,0.8674898448519831,52.0,-104.5,-0.00858809993425378
TWLO,0.8750261477039618,51.0,-105.5,-0.008670282708744247
NTES,0.8794856260367501,50.0,-106.5,-0.008752465483234714
GILD,0.8909706351855801,49.0,-107.5,-0.008834648257725182
HWM,0.9112527232100679,48.0,-108.5,-0.008916831032215649
CDE,0.9558711647827435,47.0,-109.5,-0.008999013806706115
CAR,0.9635228360314895,46.0,-110.5,-0.009081196581196582
DIS,0.9658536690675822,45.0,-111.5,-0.009163379355687049
AVGO,0.9704675649131201,44.0,-112.5,-0.009245562130177515
AAPL,0.9931549271498206,43.0,-113.5,-0.009327744904667982
LAR,0.9986675457115577,42.0,-114.5,-0.009409927679158448
DE,1.0118962616437794,41.0,-115.5,-0.009492110453648915
LAC,1.0123621384923516,40.0,-116.5,-0.009574293228139382
AMD,1.0167150260397317,39.0,-117.5,-0.00965647600262985
FSLR,1.0304905369899782,38.0,-118.5,-0.009738658777120317
RBLX,1.0514436857596097,37.0,-119.5,-0.009820841551610783
IBM,1.071180213812726,36.0,-120.5,-0.00990302432610125
NUE,1.0828320173090684,35.0,-121.5,-0.009985207100591717
JCI,1.1017139486342449,34.0,-122.5,-0.010067389875082183
ADI,1.101841233045603,33.0,-123.5,-0.01014957264957265
SHOP,1.125567455057286,32.0,-124.5,-0.010231755424063117
BMY,1.1326512358175809,31.0,-125.5,-0.010313938198553583
CVS,1.1356165249497698,30.0,-126.5,-0.01039612097304405
PLTR,1.152782124642428,29.0,-127.5,-0.010478303747534517
NOW,1.2145119629294423,28.0,-128.5,-0.010560486522024985
RGTI,1.216395491569191,27.0,-129.5,-0.010642669296515452
COIN,1.2228951889592283,26.0,-130.5,-0.010724852071005918
UAL,1.3159092590212964,25.0,-131.5,-0.010807034845496385
ISRG,1.3781662965421004,24.0,-132.5,-0.010889217619986851
AAL,1.3798542347341796,23.0,-133.5,-0.010971400394477318
WBA,1.3896954917863127,22.0,-134.5,-0.011053583168967785
PBI,1.4300768227218508,21.0,-135.5,-0.011135765943458251
URBN,1.4542771678020194,20.0,-136.5,-0.011217948717948718
AI,1.4555384036717653,19.0,-137.5,-0.011300131492439185
SATL,1.5601089380091342,18.0,-138.5,-0.011382314266929651
BB,1.5851310810438815,17.0,-139.5,-0.01146449704142012
PM,1.6801225445777572,16.0,-140.5,-0.011546679815910586
DAL,1.6941416086582737,15.0,-141.5,-0.011628862590401053
SPCE,1.790676168906139,14.0,-142.5,-0.01171104536489152
JBSS3.SA,1.8230584160410592,13.0,-143.5,-0.011793228139381986
BBD,1.931074934443669,12.0,-144.5,-0.011875410913872453
FMCC,2.154371679111374,11.0,-145.5,-0.01195759368836292
FNMA,2.3547682801264727,10.0,-146.5,-0.012039776462853386
UPST,2.488010317694084,9.0,-147.5,-0.012121959237343853
GRMN,2.667391932494131,8.0,-148.5,-0.01220414201183432
SNOW,2.801932653490132,7.0,-149.5,-0.012286324786324788
NG,2.908202531027413,6.0,-150.5,-0.012368507560815254
DOCU,3.157497162354103,5.0,-151.5,-0.012450690335305721
SBUX,3.3422686920426408,4.0,-152.5,-0.012532873109796188
MMM,4.1936001574371184,3.0,-153.5,-0.012615055884286654
AAP,5.861094742242771,2.0,-154.5,-0.012697238658777121
RCTB4.BA,15.779860077445102,1.0,-155.5,-0.012779421433267588
