Ticker;MarketCap;ActualPrice;TargetMeanPrice;TargetMeanPricePct;FinancialCurrency;OperatingIncome_TTM;EnterpriseValue;OperatingIncome_EV_Ratio;Eight_Year_ROA;Eight_Year_ROC;FCF_Sum_to_Assets;Eight_Year_Gross_Margin_Growth;Margin_Stability;Years_Data_Available;Current_ROA;FS_ROA;Current_FCFTA;FS_FCFTA;ACCRUAL;FS_ACCRUAL;LEVER;FS_LEVER;LIQUID;FS_LIQUID;ROA_Change;FS_ROA_Change;FCFTA_Change;FS_FCFTA_Change;MARGIN;FS_MARGIN;TURN;FS_TURN;OperatingIncome_EV_Ratio_Percentile;Eight_Year_ROA_Percentile;Eight_Year_ROC_Percentile;FCF_Sum_to_Assets_Percentile;Eight_Year_Gross_Margin_Growth_Percentile;Margin_Stability_Percentile;Current_ROA_Percentile;Current_FCFTA_Percentile;ACCRUAL_Percentile;LEVER_Percentile;LIQUID_Percentile;ROA_Change_Percentile;FCFTA_Change_Percentile;MARGIN_Percentile;TURN_Percentile;Max_Margin_Metric_Percentile;Max_Margin_Source;Franchise_Power_Percentile;Financial_Strength_Score;P_FS;QUALITY
EFX;32596029440;262.45;286.467;0.091510764;USD;1053200000;37615468544;3%;6%;176%;20%;-2%;29.26976853;4;5%;1;7%;1;2%;1;2%;1;8%;1;1%;1;3%;1;0%;1;5%;1;28%;50%;95%;45%;25%;66%;47%;53%;64%;72%;75%;59%;76%;37%;80%;66%;Stability;64%;9;100%;82%
V;6.79E+11;354.54;377.12564;0.063704067;USD;25023000000;6.78E+11;4%;18%;156%;75%;0%;160.6855331;4;21%;1;20%;1;-1%;0;1%;1;-17%;0;2%;1;-2%;0;1%;1;2%;1;40%;93%;94%;95%;53%;99%;95%;91%;34%;56%;30%;70%;20%;49%;61%;99%;Stability;95%;6;67%;81%
MRK;1.94E+11;77.27;101.90826;0.318859324;USD;20398000000;2.21E+11;9%;10%;43%;44%;2%;30.12358222;5;15%;1;15%;1;1%;1;2%;1;11%;1;14%;1;7%;1;3%;1;-2%;0;88%;72%;71%;76%;73%;66%;85%;84%;55%;75%;80%;97%;92%;86%;33%;73%;Growth;73%;8;89%;81%
AAPL;2.93E+12;196.21;228.75928;0.165890016;USD;1.27E+11;3.06E+12;4%;27%;353%;113%;3%;23.77201556;5;26%;1;30%;1;4%;1;4%;1;-12%;0;-2%;0;2%;1;2%;1;-2%;0;45%;99%;99%;100%;82%;57%;97%;99%;78%;85%;37%;26%;64%;77%;32%;82%;Growth;95%;6;67%;81%
SLB;45236895744;33.485;47.49724;0.418463192;USD;6267000000;57341456384;11%;8%;40%;30%;9%;9.213724431;5;9%;1;9%;1;0%;1;0%;1;13%;1;0%;1;0%;0;1%;1;5%;1;94%;62%;69%;61%;92%;28%;69%;66%;48%;45%;81%;54%;42%;54%;79%;92%;Growth;71%;8;89%;80%
AVY;13880078336;177.55;190.83357;0.074815939;USD;1122900000;17319454720;6%;8%;63%;32%;2%;28.30240066;5;8%;1;8%;1;0%;0;1%;1;4%;1;2%;1;2%;1;2%;1;2%;1;73%;66%;81%;63%;72%;63%;67%;62%;48%;68%;69%;73%;66%;70%;63%;72%;Growth;70%;8;89%;80%
META;1.58E+12;629.485;711.7766;0.130728453;USD;73117000000;1.58E+12;5%;19%;31%;57%;0%;56.39115933;5;23%;1;20%;1;-3%;0;-2%;0;31%;1;6%;1;0%;1;1%;1;1%;1;51%;95%;59%;84%;50%;83%;96%;90%;17%;20%;92%;88%;50%;58%;52%;83%;Stability;80%;7;78%;79%
NFLX;5.06E+11;1188.11;1116.6874;-0.060114468;USD;11132079000;5.15E+11;2%;12%;325%;29%;3%;15.0205404;4;16%;1;13%;1;-3%;0;3%;1;10%;1;5%;1;-1%;0;5%;1;4%;1;23%;81%;98%;59%;82%;43%;89%;77%;16%;84%;77%;86%;26%;88%;71%;82%;Growth;80%;7;78%;79%
NOW;2.08E+11;1006.71;1082.9205;0.075702536;USD;1483000000;2.06E+11;1%;5%;25%;49%;1%;87.34765725;5;7%;1;17%;1;10%;1;1%;1;4%;1;-3%;0;1%;1;1%;1;2%;1;17%;48%;49%;80%;61%;91%;57%;86%;88%;65%;70%;19%;60%;51%;62%;91%;Stability;67%;8;89%;78%
GILD;1.33E+11;106.57;115.03769;0.079456601;USD;10756000000;1.49E+11;7%;7%;106%;63%;1%;45.83299726;4;1%;1;17%;1;17%;1;-5%;0;17%;1;-8%;0;6%;1;2%;1;5%;1;79%;56%;91%;88%;65%;76%;21%;89%;94%;11%;84%;7%;90%;80%;79%;76%;Stability;78%;7;78%;78%
SCCO;73803874304;91.7881;92.3992;0.006657726;USD;5900500000;76405456896;8%;17%;35%;60%;-4%;8.605254752;4;18%;1;18%;1;0%;1;7%;1;-44%;0;4%;1;3%;1;6%;1;2%;1;81%;90%;64%;87%;18%;25%;91%;90%;49%;94%;12%;79%;78%;90%;60%;25%;Stability;67%;8;89%;78%
SNA;16664619008;318.69;321.3889;0.008468731;USD;1041000000;16682939392;6%;13%;31%;47%;1%;61.5010182;5;13%;1;14%;1;1%;1;1%;1;27%;1;0%;0;0%;1;1%;1;-3%;0;70%;84%;58%;78%;56%;84%;82%;80%;60%;59%;90%;42%;48%;57%;26%;84%;Stability;76%;7;78%;77%
NKE;88323244032;59.84;73.36167;0.225963737;USD;4927000000;92029739008;5%;15%;27%;57%;0%;44.27054382;4;15%;1;17%;1;2%;1;3%;1;-33%;0;1%;1;4%;1;1%;1;-2%;0;59%;88%;54%;85%;41%;75%;86%;87%;70%;81%;17%;68%;84%;60%;31%;75%;Stability;76%;7;78%;77%
ABT;2.28E+11;131.09;140.5696;0.072313678;USD;7132000000;2.35E+11;3%;11%;38%;34%;-1%;69.40087099;5;16%;1;8%;1;-9%;0;3%;1;3%;1;9%;1;1%;1;0%;1;-3%;0;30%;76%;67%;66%;34%;87%;89%;59%;8%;82%;67%;92%;58%;41%;25%;87%;Stability;74%;7;78%;76%
HWM;66614284288;165.02;164.88455;-0.00082081;USD;1760000000;68804911104;3%;6%;28%;23%;4%;17.03294951;5;11%;1;9%;1;-2%;0;2%;1;31%;1;4%;1;3%;1;3%;1;7%;1;27%;55%;56%;51%;84%;46%;75%;67%;29%;74%;93%;80%;77%;85%;86%;84%;Growth;61%;8;89%;75%
CRM;2.68E+11;279.53;363.92978;0.301934605;USD;7666000000;2.70E+11;3%;3%;48%;33%;2%;40.85327866;4;6%;1;12%;1;6%;1;0%;1;-3%;0;2%;1;3%;1;2%;1;2%;1;29%;35%;73%;64%;71%;73%;51%;75%;82%;49%;54%;71%;74%;71%;60%;73%;Stability;61%;8;89%;75%
NVS;2.23E+11;112.73;112.37;-0.003193471;USD;15834000000;2.45E+11;6%;13%;62%;49%;1%;78.09618695;4;12%;1;14%;1;2%;1;-2%;0;-12%;0;-3%;0;2%;1;2%;1;4%;1;73%;83%;81%;80%;60%;90%;78%;79%;65%;20%;38%;18%;68%;73%;73%;90%;Stability;83%;6;67%;75%
AMD;1.78E+11;109.64;126.91907;0.157598231;USD;2856000000;1.77E+11;2%;7%;22%;14%;1%;23.52878919;5;2%;1;3%;1;1%;1;0%;1;11%;1;1%;1;2%;1;3%;1;4%;1;22%;60%;45%;36%;59%;57%;31%;32%;59%;44%;79%;63%;68%;86%;72%;59%;Growth;50%;9;100%;75%
HSY;31026776064;153.14;165.00958;0.077508032;USD;2254080000;35948183552;6%;15%;80%;53%;2%;26.42454285;5;17%;1;15%;1;-2%;0;7%;1;-1%;0;2%;1;2%;1;3%;1;-7%;0;71%;90%;87%;82%;70%;61%;89%;82%;24%;96%;60%;69%;68%;83%;15%;70%;Growth;82%;6;67%;74%
GOOGL;2.06E+12;168.9069;200.5638;0.187422183;USD;1.18E+11;2.01E+12;6%;20%;36%;60%;1%;49.00344832;5;22%;1;16%;1;-6%;0;1%;1;-26%;0;4%;1;-1%;0;2%;1;1%;1;66%;95%;65%;86%;58%;78%;96%;85%;11%;55%;20%;83%;29%;70%;57%;78%;Stability;81%;6;67%;74%
ETSY;4937752576;47.35;50.3375;0.063093981;USD;391494000;6520952832;6%;1%;38%;109%;0%;63.19411416;5;13%;1;29%;1;17%;1;-10%;0;-21%;0;1%;1;5%;1;3%;1;14%;1;68%;25%;66%;99%;46%;85%;80%;98%;94%;4%;24%;63%;85%;83%;97%;85%;Stability;69%;7;78%;73%
SPGI;1.57E+11;510.77;585.96564;0.147220158;USD;5666000000;1.72E+11;3%;9%;;25%;-2%;20.66307997;5;6%;1;9%;1;3%;1;0%;0;1%;1;2%;1;3%;1;2%;1;3%;1;35%;68%;;53%;27%;52%;52%;66%;72%;41%;63%;73%;79%;80%;67%;52%;Stability;58%;8;89%;73%
KMB;46615171072;140.485;142.95947;0.017613767;USD;3223000000;53215289344;6%;12%;45%;54%;5%;12.96730422;4;15%;1;15%;1;0%;0;1%;1;-3%;0;5%;1;-1%;0;1%;1;3%;1;68%;79%;72%;83%;86%;39%;87%;83%;45%;65%;56%;87%;32%;66%;70%;86%;Growth;80%;6;67%;73%
EBAY;33125466112;71.88;67.02179;-0.067587785;USD;2303000000;35645149184;6%;15%;44%;41%;-1%;59.63522129;4;10%;1;10%;1;0%;0;3%;1;-120%;0;-3%;0;1%;1;0%;1;6%;1;72%;89%;71%;74%;32%;83%;73%;70%;47%;79%;4%;21%;60%;36%;84%;83%;Stability;80%;6;67%;73%
LLY;6.38E+11;710.95;955.30853;0.343707054;USD;20174500000;6.78E+11;3%;11%;79%;9%;3%;25.23181448;5;13%;1;1%;1;-13%;0;-8%;0;21%;1;5%;1;5%;1;2%;1;4%;1;30%;78%;86%;28%;81%;60%;83%;21%;6%;6%;87%;87%;89%;77%;73%;81%;Growth;68%;7;78%;73%
AMAT;1.27E+11;156.27;198.04875;0.267349779;USD;8075000000;1.29E+11;6%;23%;57%;71%;0%;101.7150234;4;21%;1;22%;1;1%;1;2%;1;-9%;0;-1%;0;-3%;0;1%;1;-7%;0;71%;97%;77%;95%;45%;94%;94%;93%;57%;72%;43%;30%;14%;55%;14%;94%;Stability;91%;5;56%;73%
IBM;2.40E+11;257.9537;252.272;-0.022026046;USD;10276000000;2.90E+11;4%;4%;127%;31%;1%;49.83919515;5;4%;1;9%;1;4%;1;1%;1;8%;1;-1%;0;0%;0;1%;1;0%;1;38%;40%;92%;62%;64%;79%;42%;63%;78%;59%;75%;32%;40%;62%;42%;79%;Stability;68%;7;78%;73%
DECK;15348600832;101.128;133.4415;0.319530694;USD;1149429000;17153244160;7%;20%;36%;67%;1%;21.13326964;4;24%;1;30%;1;6%;1;;0;-45%;0;4%;1;12%;1;5%;1;-5%;0;76%;96%;65%;91%;64%;53%;97%;99%;81%;;12%;84%;95%;89%;18%;64%;Growth;79%;6;67%;73%
EA;37033119744;147.68;166.2376;0.125660888;USD;1577000000;36739813376;4%;8%;151%;57%;3%;30.62305804;5;9%;1;15%;1;6%;1;2%;1;-43%;0;0%;0;-1%;0;2%;1;4%;1;46%;61%;94%;84%;77%;67%;68%;82%;81%;73%;14%;37%;34%;74%;74%;77%;Growth;79%;6;67%;73%
HD;3.60E+11;362.38;418.98166;0.156194216;USD;21526000000;4.23E+11;5%;20%;59%;62%;0%;297.0825099;5;15%;1;17%;1;2%;1;5%;1;-25%;0;-4%;0;-6%;0;0%;1;-34%;0;56%;95%;78%;87%;41%;99%;88%;87%;63%;93%;20%;12%;6%;37%;0%;99%;Stability;90%;5;56%;73%
GPRK;352040128;6.86;11.4;0.66180758;USD;;720448704;;12%;49%;64%;0%;38.55557863;5;8%;1;23%;1;15%;1;7%;1;0%;0;-3%;0;13%;1;2%;1;-19%;0;;81%;74%;90%;39%;70%;66%;95%;93%;95%;62%;20%;96%;79%;1%;70%;Stability;79%;6;67%;73%
BKNG;1.73E+11;5316.745;5502.1514;0.034872163;USD;7826000000;1.75E+11;4%;14%;77%;85%;;;5;21%;1;28%;1;7%;1;-3%;0;3%;1;4%;1;0%;0;;0;-2%;0;49%;86%;85%;96%;;;95%;98%;84%;14%;67%;80%;42%;;29%;;Neither;89%;5;56%;72%
AZN;2.19E+11;70.375;84.59917;0.202119645;USD;10810000000;1.35E+11;8%;4%;78%;24%;7%;10.28851685;5;7%;1;7%;1;0%;1;-3%;0;11%;1;1%;1;0%;1;-1%;0;7%;1;82%;41%;86%;51%;89%;31%;55%;55%;50%;15%;78%;61%;52%;23%;85%;89%;Growth;67%;7;78%;72%
MSI;70029606912;419.55;493.6789;0.176686688;USD;2745000000;75370733568;4%;11%;96%;49%;1%;25.34331262;5;11%;1;15%;1;4%;1;-4%;0;28%;1;-2%;0;1%;1;1%;1;-1%;0;39%;78%;89%;79%;63%;61%;75%;81%;75%;13%;91%;24%;62%;61%;37%;63%;Growth;77%;6;67%;72%
TMO;1.48E+11;391.745;570.1743;0.455473076;USD;7841000000;1.80E+11;4%;7%;49%;29%;-6%;9.485166445;4;7%;1;7%;1;1%;1;2%;1;-9%;0;0%;1;0%;1;1%;1;1%;1;48%;58%;73%;60%;11%;29%;53%;58%;59%;71%;42%;56%;51%;67%;50%;29%;Stability;55%;8;89%;72%
MSFT;3.35E+12;451.1;508.95538;0.128254001;USD;1.22E+11;3.41E+12;4%;18%;49%;50%;0%;122.3498785;4;17%;1;14%;1;-3%;0;2%;1;-49%;0;0%;0;0%;1;1%;1;-4%;0;39%;93%;74%;81%;52%;96%;90%;81%;20%;71%;10%;39%;46%;57%;24%;96%;Stability;86%;5;56%;71%
BHP;1.27E+11;49.6298;51.5;0.037683005;USD;22905000000;2.65E+11;9%;15%;34%;70%;-2%;21.59631569;5;8%;1;12%;1;4%;1;-3%;0;48%;1;-5%;0;0%;0;2%;1;1%;1;86%;89%;62%;94%;27%;54%;63%;74%;75%;16%;97%;11%;43%;82%;55%;54%;Stability;75%;6;67%;71%
ORCL;4.36E+11;155.65;178.11765;0.144347253;USD;17740000000;5.33E+11;3%;8%;81%;28%;-4%;16.76093593;5;7%;1;8%;1;1%;1;10%;1;-19%;0;1%;1;2%;1;-1%;0;0%;1;35%;62%;87%;58%;19%;46%;61%;62%;58%;98%;27%;63%;70%;19%;49%;46%;Stability;63%;7;78%;70%
MDLZ;85335105536;65.905;72.70815;0.103226614;USD;4573000000;1.03E+11;4%;6%;138%;19%;0%;24.93165242;5;7%;1;5%;1;-2%;0;1%;1;6%;1;0%;0;0%;1;1%;1;3%;1;49%;53%;93%;43%;43%;59%;54%;43%;30%;61%;73%;41%;47%;58%;65%;59%;Stability;62%;7;78%;70%
LRCX;1.03E+11;80.36;90.26667;0.123278621;USD;5285632000;1.05E+11;5%;24%;48%;79%;1%;39.87256159;5;20%;1;23%;1;2%;1;3%;1;-19%;0;-4%;0;-2%;0;3%;1;-13%;0;55%;97%;72%;96%;56%;72%;94%;94%;69%;80%;27%;16%;18%;84%;5%;72%;Stability;84%;5;56%;70%
BIIB;18300395520;124.8935;171.95;0.376773011;USD;2266600000;22529366016;10%;7%;33%;29%;-2%;27.90632015;5;6%;1;9%;1;3%;1;9%;1;-65%;0;1%;1;4%;1;2%;1;-2%;0;91%;59%;62%;60%;28%;63%;49%;65%;74%;97%;8%;68%;83%;72%;29%;63%;Stability;61%;7;78%;69%
CAAP;3394166272;21.07;22.33333;0.059958709;USD;435302000;4293679872;10%;4%;301%;27%;40%;2.618443768;5;7%;1;9%;1;3%;1;7%;1;17%;1;0%;0;0%;0;-2%;0;5%;1;92%;38%;96%;57%;97%;10%;54%;67%;71%;95%;85%;46%;41%;17%;76%;97%;Growth;72%;6;67%;69%
BKR;36058345472;36.395;46.63269;0.281293859;USD;3474000000;39162540032;9%;3%;26%;16%;2%;37.65324889;5;8%;1;5%;1;-2%;0;0%;1;7%;1;3%;1;0%;1;0%;1;4%;1;87%;33%;53%;39%;75%;70%;64%;45%;22%;52%;75%;74%;49%;47%;70%;75%;Growth;50%;8;89%;69%
KGC;18152034304;14.77;14.9375;0.011340555;USD;1874200000;18445463552;10%;2%;6%;23%;21%;2.692092193;5;9%;1;13%;1;4%;1;10%;1;-62%;0;5%;1;8%;1;9%;1;7%;1;92%;31%;22%;49%;96%;10%;68%;76%;76%;98%;9%;85%;93%;94%;88%;96%;Growth;49%;8;89%;69%
DD;28077096960;67.09;85.07053;0.268006111;USD;1968000000;34839097344;6%;8%;17%;3%;0%;49.78748174;5;2%;1;4%;1;2%;1;6%;1;-110%;0;1%;1;4%;1;1%;1;3%;1;62%;63%;39%;16%;42%;79%;28%;34%;68%;93%;5%;60%;84%;65%;63%;79%;Stability;49%;8;89%;69%
ADP;1.30E+11;320.78;311.94067;-0.027555739;USD;4148600000;1.32E+11;3%;6%;315%;23%;1%;52.21325785;4;7%;1;7%;1;0%;0;0%;1;2%;1;0%;1;-1%;0;0%;1;0%;0;31%;53%;97%;49%;66%;81%;56%;51%;44%;52%;65%;52%;36%;42%;38%;81%;Stability;70%;6;67%;68%
ACN;1.94E+11;310.67;356.28918;0.146841279;USD;10177724000;1.99E+11;5%;14%;109%;62%;0%;125.4542498;4;13%;1;15%;1;2%;1;0%;0;-20%;0;0%;0;-2%;0;0%;1;-9%;0;57%;86%;91%;88%;46%;97%;82%;84%;70%;42%;26%;37%;18%;44%;11%;97%;Stability;90%;4;44%;67%
ZM;24586973184;80.64;90.94393;0.12777691;USD;813295000;17266923520;5%;9%;11%;54%;1%;87.90832394;5;9%;1;16%;1;7%;1;;0;6%;1;3%;1;2%;1;0%;0;-3%;0;52%;67%;29%;83%;57%;92%;69%;86%;84%;;73%;75%;65%;27%;26%;92%;Stability;68%;6;67%;67%
DIS;1.98E+11;109.9725;123.86444;0.126321944;USD;13683000000;2.41E+11;6%;2%;24%;8%;3%;28.44853251;5;3%;1;4%;1;2%;1;1%;1;-32%;0;1%;1;2%;1;2%;1;3%;1;63%;27%;49%;27%;77%;64%;32%;37%;66%;58%;17%;66%;69%;82%;69%;77%;Growth;45%;8;89%;67%
WB;2223345408;9.39;11.23053;0.196009585;USD;;2097316480;;4%;18%;34%;-1%;44.83477788;4;5%;1;9%;1;4%;1;-3%;0;110%;1;0%;0;0%;1;0%;1;3%;1;;42%;41%;67%;30%;76%;44%;64%;79%;17%;98%;44%;47%;40%;66%;76%;Stability;56%;7;78%;67%
GRMN;38505312256;199.985;198.5425;-0.007213041;USD;1628408000;36316430336;4%;14%;28%;38%;0%;110.0142028;5;15%;1;13%;1;-2%;0;;0;13%;1;0%;0;-1%;0;1%;1;5%;1;50%;87%;55%;71%;52%;95%;85%;76%;27%;;82%;40%;31%;62%;77%;95%;Stability;77%;5;56%;66%
MELI;1.29E+11;2534.68;2716.8083;0.071854554;USD;2866000000;1.32E+11;2%;4%;31%;58%;3%;14.15216939;5;8%;1;28%;1;20%;1;1%;1;-5%;0;2%;1;2%;1;-4%;0;-3%;0;24%;43%;57%;85%;78%;42%;62%;97%;96%;62%;48%;72%;66%;9%;25%;78%;Growth;66%;6;67%;66%
ARM;1.34E+11;126.415;131.81;0.042676898;USD;443000000;1.34E+11;0%;7%;20%;38%;1%;68.93675399;4;4%;1;12%;1;8%;1;;0;19%;1;-4%;0;3%;1;-1%;0;2%;1;16%;57%;44%;72%;60%;87%;39%;74%;86%;;86%;16%;74%;24%;59%;87%;Stability;65%;6;67%;66%
UAL;24250124288;74.25;92.79739;0.249796498;USD;5598000000;42416644096;13%;1%;5%;6%;115%;1.711536531;5;4%;1;5%;1;1%;1;5%;1;-2%;0;1%;1;6%;1;1%;1;1%;1;97%;27%;18%;23%;99%;7%;41%;43%;58%;88%;57%;58%;90%;52%;58%;99%;Growth;42%;8;89%;65%
CLS;13757827072;119.6;120.19727;0.004993896;USD;620800000;14375750656;4%;4%;18%;13%;7%;10.36174603;5;7%;1;5%;1;-2%;0;-2%;0;9%;1;3%;1;2%;1;1%;1;26%;1;47%;42%;43%;34%;91%;31%;59%;42%;26%;24%;76%;77%;65%;63%;99%;91%;Growth;52%;7;78%;65%
CAT;1.61E+11;342.62;366.7948;0.070558636;USD;12132000000;1.98E+11;6%;10%;41%;32%;7%;9.415494245;4;12%;1;10%;1;-2%;0;-3%;0;6%;1;0%;1;-1%;0;1%;1;-3%;0;69%;73%;69%;64%;90%;28%;79%;70%;24%;17%;74%;58%;28%;64%;27%;90%;Growth;74%;5;56%;65%
JNJ;3.67E+11;152.56;169.18262;0.108957918;USD;22175000000;3.81E+11;6%;12%;87%;40%;-1%;108.2082027;4;8%;1;10%;1;2%;1;-2%;0;-5%;0;-13%;0;-1%;0;0%;1;-2%;0;65%;82%;88%;74%;38%;95%;64%;69%;68%;25%;50%;5%;36%;43%;33%;95%;Stability;85%;4;44%;65%
PEP;1.77E+11;128.99;151.15045;0.171799752;USD;12786000000;2.18E+11;6%;9%;53%;28%;1%;75.29655558;5;10%;1;7%;1;-2%;0;0%;0;-3%;0;1%;1;-1%;0;0%;1;1%;1;65%;70%;76%;58%;58%;88%;71%;57%;23%;43%;52%;59%;35%;45%;56%;88%;Stability;73%;5;56%;64%
TJX;1.42E+11;127;138.05333;0.087034094;USD;6302000000;1.55E+11;4%;14%;30%;41%;2%;21.2949717;5;15%;1;13%;1;-2%;0;1%;1;-3%;0;0%;1;-1%;0;1%;1;-5%;0;43%;85%;57%;75%;76%;53%;87%;78%;25%;56%;53%;53%;25%;51%;19%;76%;Growth;73%;5;56%;64%
IP;25014636544;47.385;53.88583;0.137191727;USD;314000000;34843852800;1%;4%;8%;18%;0%;102.1451477;5;2%;1;3%;1;1%;1;0%;0;-16%;0;1%;1;0%;1;0%;1;0%;1;18%;42%;25%;42%;39%;94%;31%;31%;57%;40%;32%;65%;49%;41%;48%;94%;Stability;51%;7;78%;64%
AMGN;1.46E+11;270.66;314.20407;0.160881068;USD;7445000000;1.95E+11;4%;8%;63%;38%;-6%;10.76553204;5;4%;1;11%;1;7%;1;3%;1;-39%;0;-2%;0;4%;1;-8%;0;7%;1;42%;63%;82%;70%;11%;32%;42%;72%;84%;84%;15%;22%;82%;3%;89%;32%;Stability;62%;6;67%;64%
AEM;59329396736;117.7722;126.38083;0.073095603;USD;3732150000;57734451200;6%;5%;10%;13%;8%;7.231004788;5;6%;1;7%;1;1%;1;3%;1;-24%;0;0%;0;4%;1;11%;1;5%;1;72%;48%;28%;35%;91%;22%;52%;56%;54%;79%;21%;36%;82%;95%;76%;91%;Growth;51%;7;78%;64%
COIN;66834587648;262.4;260.77777;-0.006182279;USD;2301503000;65810595840;3%;6%;4%;26%;-1%;9.973369072;4;11%;1;11%;1;0%;0;1%;1;21%;1;11%;1;5%;1;11%;1;8%;1;37%;55%;17%;55%;30%;29%;77%;73%;46%;67%;86%;95%;89%;95%;91%;30%;Growth;39%;8;89%;64%
