Year-Month,SPY Monthly Max Drawdown,VXX/VIX Monthly Max Drawdown,Ultra Monthly Max Drawdown
2009-01,-0.9999880770783424,-0.9995278402254664,-0.9998267316558589
2009-02,-0.9999935976901313,-0.9998125915785558,-0.9999249405645937
2009-03,-0.9999997345000664,-0.9999874338102772,-0.999995965521077
2009-04,-0.9999949213284399,-0.9998213530124289,-0.999941357214308
2009-05,-0.9999688994521242,-0.9990844093882528,-0.999682232643508
2009-06,-0.9999829743875173,-0.999284416047964,-0.9997778274334426
2009-07,-0.9999796575556648,-0.9991450101001523,-0.9997345450524856
2009-08,-0.9998333644675101,-0.9941384404268547,-0.9980758803350552
2009-09,-0.9996652220468537,-0.9882238746633367,-0.9961343608208062
2009-10,-0.999658769237727,-0.9856581219811872,-0.995547172571956
2009-11,-0.9989035321953023,-0.9677203233823475,-0.9887969280422874
2009-12,-0.999223362252345,-0.9673580313583705,-0.9898654100193753
2010-01,-0.9974384359376914,-0.936885923152508,-0.9768408167175838
2010-02,-0.998473446873697,-0.9623874363546334,-0.9861983839629082
2010-03,-0.9987168200779668,-0.9355596809275358,-0.9810766306278859
2010-04,-0.9950987573776988,-0.8275942400532209,-0.9434059640742746
2010-05,-0.9981581835666504,-0.9407028842027377,-0.9800909186545439
2010-06,-0.999527478981085,-0.9756580015085156,-0.9929847069783819
2010-07,-0.9993605378145018,-0.9726958131038163,-0.9916507416415797
2010-08,-0.9995112716335697,-0.9748230773189548,-0.9927440842602984
2010-09,-0.9986018178411495,-0.9402994768949151,-0.981744371534211
2010-10,-0.9968366488329164,-0.8649291022314018,-0.9586971102101771
2010-11,-0.9948748977474444,-0.7811649336906339,-0.9330831380020213
2010-12,-0.9917364361047071,-0.5743011383168524,-0.8773148287425391
2011-01,-0.9769000581786424,-0.18793838809791807,-0.7347519090565171
2011-02,-0.9507137121914541,-0.10403576023501981,-0.5022906059682852
2011-03,-0.9812169786555464,-0.4777979488769982,-0.6829105536877278
2011-04,-0.9532267818576013,-0.20294828332187154,-0.46292043003831795
2011-05,-0.9552811931679226,-0.3058239869266802,-0.41612048344903285
2011-06,-0.9832067478052,-0.7010055167339327,-0.7506786360468041
2011-07,-0.9575866511664024,-0.4259721149094611,-0.5129831972896721
2011-08,-0.997886545925672,-0.9350219823371957,-0.9554173721465864
2011-09,-0.9968099390032361,-0.8992365732300772,-0.9397295543073436
2011-10,-0.9938750298965351,-0.8065325468338848,-0.8842797431257533
2011-11,-0.991937623387638,-0.7696443860901281,-0.8569929787337669
2011-12,-0.9897040990508377,-0.7182084406574406,-0.822249428605799
2012-01,-0.9696686559160373,-0.296454646629297,-0.5458691838987305
2012-02,-0.9340858923983228,-0.022181585625147493,-0.08207861312193299
2012-03,-0.9150477743380865,-0.10666058207792606,-0.1066605820779255
2012-04,-0.9013241942240893,-0.3620996339078437,-0.36209963390784383
2012-05,-0.9609467758072403,-0.6927306137771161,-0.6927306137771154
2012-06,-0.9627567060514179,-0.7343863628157494,-0.7343863628157509
2012-07,-0.9395340853033805,-0.5687660830855861,-0.5687660830855891
2012-08,-0.901399402638253,-0.16785364555760496,-0.16785364555760918
2012-09,-0.7484081504296813,-0.13219388439274993,-0.13219388439275015
2012-10,-0.8154677826828504,-0.3766496432304762,-0.37664964323047456
2012-11,-0.8978317559521454,-0.6548753800086314,-0.6548753800086293
2012-12,-0.8273117812726788,-0.45110443550170964,-0.4511044355017064
2013-01,-0.6727862227444987,-0.06151320093660162,-0.06151320093659873
2013-02,-0.45145001925097095,-0.11784380973122321,-0.11784380973122299
2013-03,-0.14586086758528405,-0.08033311570594959,-0.08033311570595225
2013-04,-0.18062481283781684,-0.22908753080131417,-0.2088659723441023
2013-05,-0.08062959689044069,-0.08483049533631737,-0.08186368707955638
2013-06,-0.44798351808463754,-0.4479835180846329,-0.4479835180846329
2013-07,-0.16048612256041728,-0.16048612256041506,-0.1604861225604145
2013-08,-0.3857088428065474,-0.38570884280654494,-0.38570884280654716
2013-09,-0.263953587788316,-0.26395358778831424,-0.2639535877883169
2013-10,-0.25628025598916115,-0.25628025598916104,-0.25628025598916404
2013-11,-0.04201787504464338,-0.04201787504464349,-0.042017875044643715
2013-12,-0.10678999202833184,-0.10678999202833228,-0.10678999202833106
2014-01,-0.2552147049923331,-0.25521470499232923,-0.25521470499233134
2014-02,-0.22832008985249985,-0.22832008985249597,-0.22832008985249752
2014-03,-0.15397112499063415,-0.1539711249906338,-0.1539711249906358
2014-04,-0.24861549268856076,-0.24861549268855931,-0.2486154926885603
2014-05,-0.0853635368823431,-0.08536353688234355,-0.085363536882343
2014-06,-0.06278870585846041,-0.06278870585846164,-0.06278870585846175
2014-07,-0.11254205668154027,-0.11254205668153994,-0.11254205668154005
2014-08,-0.2359319166137941,-0.23593191661379553,-0.23593191661379465
2014-09,-0.17437461243767804,-0.1743746124376786,-0.17437461243768015
2014-10,-0.6024440968900973,-0.5201872706438821,-0.555404633161291
2014-11,-0.009210440549448418,-0.008964901070966591,-0.00896490107096648
2014-12,-0.22507308363451672,-0.2250730836345186,-0.2250730836345174
2015-01,-0.4412971731816915,-0.4412971731816917,-0.4412971731816917
2015-02,-0.10949145091261292,-0.10949145091261525,-0.1094914509126147
2015-03,-0.33208158014758915,-0.3320815801475888,-0.3320815801475895
2015-04,-0.21109204773408385,-0.21109204773407508,-0.21109204773407708
2015-05,-0.10893091183941928,-0.10893091183941406,-0.10893091183941517
2015-06,-0.28836907896476305,-0.28836907896476094,-0.2883690789647636
2015-07,-0.33696064781368995,-0.3369606478136834,-0.33696064781368973
2015-08,-0.6024907570965342,-0.5969758596485863,-0.60235497178953
2015-09,-0.8408016145129462,-0.8124823816335889,-0.8311320041785366
2015-10,-0.6590588622950446,-0.6307280297067676,-0.6573657440330192
2015-11,-0.37682700987908546,-0.3301555765541392,-0.37402771732524454
2015-12,-0.5591892090322059,-0.5225596113072712,-0.557000136732781
2016-01,-0.8642425194464374,-0.8546288294345881,-0.8636648610630641
2016-02,-0.8867182609823088,-0.8782342265114447,-0.886209399504765
2016-03,-0.6713885479291328,-0.6440822624574555,-0.6697566590513138
2016-04,-0.44348455833107747,-0.39952718532758347,-0.44085280886388367
2016-05,-0.48195769847884584,-0.44103919564042715,-0.4795078876579224
2016-06,-0.40289241716377,-0.3532751868101799,-0.39992717289991275
2016-07,-0.07947086524092772,-0.06492974656933093,-0.07838449928883828
2016-08,-0.0695222455112654,-0.06952224551126573,-0.06952224551126496
2016-09,-0.2725399442552343,-0.27253994425523054,-0.27253994425523
2016-10,-0.3756731041450988,-0.37567310414509625,-0.3756731041450928
2016-11,-0.23110500952472957,-0.23110500952472812,-0.23110500952472557
2016-12,-0.12692137811041249,-0.12692137811041337,-0.12692137811041415
2017-01,-0.08556809605920723,-0.0855680960592109,-0.08556809605920923
2017-02,-0.020297981642300456,-0.02029798164229968,-0.020297981642300233
2017-03,-0.26845633737066854,-0.26845633737066277,-0.26845633737066965
2017-04,-0.2728007487043361,-0.2728007487043279,-0.2728007487043369
2017-05,-0.06917607991770458,-0.06917607991770058,-0.06917607991770514
2017-06,-0.09888672821487232,-0.09888672821487154,-0.09888672821487066
2017-07,-0.06407318675340157,-0.06407318675339913,-0.0640731867534009
2017-08,-0.18261560015208067,-0.1826156001520829,-0.18261560015208123
2017-09,-0.04271636919977362,-0.04271636919977573,-0.04271636919977484
2017-10,-0.030248933940798195,-0.03024893394079764,-0.030248933940797418
2017-11,-0.03854310850782616,-0.03854310850782705,-0.038543108507826385
2017-12,-0.05083869184270806,-0.05083869184270784,-0.05083869184270917
2018-01,-0.04601289496307659,-0.04601289496307648,-0.04601289496307659
2018-02,-0.667847835897436,-0.712542390587195,-0.698961257469316
2018-03,-0.6957800359218181,-0.7492325959117909,-0.7329367785682118
2018-04,-0.787611516877455,-0.8508117322961621,-0.8378231592724141
2018-05,-0.7073251418541724,-0.8014572735047945,-0.7831474647453631
2018-06,-0.5534549151816236,-0.6914261033135645,-0.6643818828647462
2018-07,-0.40629491785259664,-0.5897348399763955,-0.5537781322013886
2018-08,-0.12116258292566595,-0.3680211371904951,-0.3123750666301778
