,skewness,rank,demeaned_rank,weight
HL,0.004178482865427918,189.0,26.0,0.001969249413012194
MCD,0.0057124187368119755,188.0,25.0,0.0018935090509732636
PRIO3.SA,0.018604873199917348,187.0,24.0,0.0018177686889343332
AKO-B,0.023369045883357527,186.0,23.0,0.0017420283268954027
SPOT,0.03384447980924534,185.0,22.0,0.001666287964856472
GLW,0.0372270787517099,184.0,21.0,0.0015905476028175414
MRNA,0.04909044800015606,183.0,20.0,0.001514807240778611
TIMB,0.05597493388358728,182.0,19.0,0.0014390668787396805
GS,0.058597631557262185,181.0,18.0,0.0013633265167007499
KB,0.058843398638282626,180.0,17.0,0.0012875861546618192
GSK,0.05913408628371194,179.0,16.0,0.0012118457926228888
DHR,0.06226260845100469,178.0,15.0,0.0011361054305839583
SBUX,0.06679083747658353,177.0,14.0,0.0010603650685450277
SONY,0.06709999899553629,176.0,13.0,0.000984624706506097
PANW,0.06861473219081902,175.0,12.0,0.0009088843444671666
VOD,0.08226303866044149,174.0,11.0,0.000833143982428236
BBVA,0.10479011016083616,173.0,10.0,0.0007574036203893055
IFF,0.10496860686430413,172.0,9.0,0.0006816632583503749
SIEGY,0.10965245747807359,171.0,8.0,0.0006059228963114444
MGLU3.SA,0.12960034479270785,170.0,7.0,0.0005301825342725138
NUE,0.13604880971367803,169.0,6.0,0.0004544421722335833
DEO,0.13713320893090108,168.0,5.0,0.00037870181019465275
IREN,0.15434721332439952,167.0,4.0,0.0003029614481557222
ALAB,0.15494052920846224,166.0,3.0,0.00022722108611679165
KOF,0.15658115101398065,165.0,2.0,0.0001514807240778611
LYG,0.16924274392670025,164.0,1.0,7.574036203893055e-05
SCCO,0.1703254031984753,163.0,0.0,0.0
UBER,0.1726234844778955,162.0,-1.0,-7.574036203893055e-05
TXN,0.1807416318364288,161.0,-2.0,-0.0001514807240778611
PM,0.18673571285038856,160.0,-3.0,-0.00022722108611679165
INFY,0.19815071265649373,159.0,-4.0,-0.0003029614481557222
HOOD,0.19870956631179396,158.0,-5.0,-0.00037870181019465275
BHP,0.20130278137712673,157.0,-6.0,-0.0004544421722335833
BIDU,0.20740554675321643,156.0,-7.0,-0.0005301825342725138
ROKU,0.2113649682315383,155.0,-8.0,-0.0006059228963114444
GGB,0.21463997229404894,154.0,-9.0,-0.0006816632583503749
BABA,0.2212999685364614,153.0,-10.0,-0.0007574036203893055
HAL,0.22251636806897876,152.0,-11.0,-0.000833143982428236
EFX,0.2291738839677459,151.0,-12.0,-0.0009088843444671666
AMX,0.2308871521890604,150.0,-13.0,-0.000984624706506097
TEAM,0.23439015598093857,149.0,-14.0,-0.0010603650685450277
HD,0.2382003831279056,148.0,-15.0,-0.0011361054305839583
PAC,0.2417915358822241,147.0,-16.0,-0.0012118457926228888
CSCO,0.25063628569026686,146.0,-17.0,-0.0012875861546618192
UGP,0.2507094131197305,145.0,-18.0,-0.0013633265167007499
SNA,0.2521476712342409,144.0,-19.0,-0.0014390668787396805
MMM,0.2606482579978334,143.0,-20.0,-0.001514807240778611
TJX,0.26097474641836205,142.0,-21.0,-0.0015905476028175414
IEMG,0.26193779869476935,141.0,-22.0,-0.001666287964856472
AMGN,0.2632086577552724,140.0,-23.0,-0.0017420283268954027
ING,0.27179711869621975,139.0,-24.0,-0.0018177686889343332
CSNA3.SA,0.28845008294431823,138.0,-25.0,-0.0018935090509732636
CCL,0.29240675165386265,137.0,-26.0,-0.001969249413012194
